,id,title,rating,image_path,overview,vote_count,director,actor,country,release,movie_rating,runtime,genre,description,ott,,,,,,,,,,
1330,42297,Burlesque,7.2,/3U9zBIibERQZqYKM3N1a4MYgBsN.jpg,"The Burlesque Lounge has its best days behind it. Tess, a retired dancer and owner of the venue, struggles to keep the aging theater alive, facing all kinds of financial and artistic challenges. With the Lounge's troupe members becoming increasingly distracted by personal problems and a threat coming from a wealthy businessman's quest to buy the spot from Tess, the good fortune seems to have abandoned the club altogether. Meanwhile, the life of Ali, a small-town girl from Iowa, is about to change dramatically. Hired by Tess as a waitress at the Lounge, Ali escapes a hollow past and quickly falls in love with the art of burlesque. Backed by newfound friends amongst the theater's crew, she manages to fulfill her dreams of being on stage herself. Things take a dramatic turn though when Ali's big voice makes her become the main attraction of the venue.",1873,Steve Antin,"Cher, Christina Aguilera, Alan Cumming, Eric Dane, Cam Gigandet, Julianne Hough, Peter Gallagher, Kristen Bell, Stanley Tucci, Dianna Agron",United States,2010,PG-13,119 min,"Dramas, Romantic Movies","After leaving Iowa with stars in her eyes, Ali arrives at a Los Angeles burlesque lounge with dreams of taking the stage with her soaring voice.",netflix,,,,,,,,,,
1331,42684,Skyline,4.9,/8QpvbnNrtzijlwiM0bFVeilc6lc.jpg,"When strange lights descend on the city of Los Angeles, people are drawn outside like moths to a flame where an extraterrestrial force threatens to swallow the entire human population off the face of the Earth. Now the band of survivors must fight for their lives as the world unravels around them.",1251,"Colin Strause, Greg Strause","Eric Balfour, Scottie Thompson, Brittany Daniel, Crystal Reed, Neil Hopkins, David Zayas, Donald Faison, Robin Gammell, Tanya Newbould, J. Paul Boehmer",United States,2010,PG-13,94 min,"Action & Adventure, Sci-Fi & Fantasy","After a wild night of partying, Terry discovers that he's one of the few people left on Earth, then sets out to solve the mystery of what happened.",netflix,,,,,,,,,,
1332,42884,Cinderella,6.4,/54awQrtekrsI11bKg2NwQrBHLIe.jpg,"Cinderella chafes under the cruelty of her wicked stepmother and her evil stepsisters, until her Fairy Godmother steps in to change her life for one unforgettable night. At the ball, she falls for handsome Prince Christopher, whose parents, King Maximillian and Queen Constantina, are anxious for him to find a suitable paramour.",132,Kay Cannon,Camila Cabello,"United States, United Kingdom",2021,PG,112 min,"Comedy, Fantasy, Kids","From Kay Cannon (Pitch Perfect), Cinderella is a modern movie musical with a bold take on the classic fairytale. Our ambitious heroine (Camila Cabello) has big dreams and with the help of her Fab Godmother, she perseveres to make them come true. Cinderella has an all-star cast including Idina Menzel, Minnie Driver, James Corden, Nicholas Galitzine, Billy Porter and Pierce Brosnan.",amazon,,,,,,,,,,
1333,42884,Cinderella,6.4,/54awQrtekrsI11bKg2NwQrBHLIe.jpg,"Cinderella chafes under the cruelty of her wicked stepmother and her evil stepsisters, until her Fairy Godmother steps in to change her life for one unforgettable night. At the ball, she falls for handsome Prince Christopher, whose parents, King Maximillian and Queen Constantina, are anxious for him to find a suitable paramour.",132,"Wilfred Jackson, Hamilton Luske, Clyde Geronimi","Ilene Woods, Eleanor Audley, Verna Felton, Rhoda Williams, James MacDonald, Luis Van Rooten",United States,1950,G,77 min,"Animation, Family, Fantasy",Cinderella's enchanted evening must end when a spell is broken at midnight.,disney,,,,,,,,,,
1334,43347,Love & Other Drugs,7,/1nXN4e3IoTJD42ci7WHZeI1Cgpm.jpg,"Maggie is an alluring free spirit who won't let anyone ??or anything ??tie her down. But she meets her match in Jamie, whose relentless and nearly infallible charm serves him well with the ladies and in the cutthroat world of pharmaceutical sales. Maggie and Jamie's evolving relationship takes them both by surprise, as they find themselves under the influence of the ultimate drug: love.",4021,Edward Zwick,"K K, Jake Gyllenhaal, Anne Hathaway, Oliver Platt, Hank Azaria, Josh Gad, Gabriel Macht",United States,2010,R,112 min,"Comedy, Drama",A womanizing pfizer drug rep with no sense of direction or responsibility falls in love with a young woman afflicted with parkinson's...,amazon,,,,,,,,,,
1335,43436,Little Women,7.5,/7hQPphl95wUGnP2aeY1ossB7szf.jpg,"Louisa May Alcott's autobiographical account of her life with her three sisters in Concord Mass in the 1860s. With their father fighting in the civil war, the sisters: Jo, Meg, Amy and Beth are at home with their mother - a very outspoken women for her time. The story is of how the sisters grow up, find love and find their place in the world.",171,Lela Swift,"Mary Sinclair, Kent Smith, John Baragrey",,1950,7+,56 min,Drama,"Sisters Meg, Josephine, Amy, and Beth, with the help of their mother, must keep their family going while their father serves for the Union in the Civil War. Based on Louisa May Alcott's life with her sisters in Massachusetts, the familial bond keeps the sisters going through relationships, tragedy, and growing up.",amazon,,,,,,,,,,
1336,43539,The Next Three Days,7.1,/rXWk1S0Ka7WtkIbi5grCxaY98Dl.jpg,"A married couple's life is turned upside down when the wife is accused of murdering her boss. Her husband John would spend the next few years trying to get her released, but there's no evidence that negates the evidence against her. When the strain of being separated from her husband and son gets to her, John decides to find a way to break her out.",2239,Paul Haggis,"Russell Crowe, Elizabeth Banks, Brian Dennehy, Lennie James, Olivia Wilde, Ty Simpkins, Helen Carey, Liam Neeson, Daniel Stern, Kevin Corrigan","United States, France",2010,PG-13,133 min,"Dramas, Thrillers","When his wife becomes a murder suspect and is sent to prison, a professor plots a meticulous plan to take back her freedom and reunite his family.",netflix,,,,,,,,,,
1337,43947,I Spit on Your Grave,6.5,/7hUHtWT0I0ex84megfNKdTPTRWK.jpg,"Jennifer is a writer working on a new novel and, needing to get out of the city to finish it, hires a riverside apartment in upstate New York to finish her book?îattracting the attention of a number of rowdy male locals.",1661,,,,2010,R,106 min,Horror,"This remake of the 1978 cult classic of the same name tells the tale of a woman who is brutally raped and assaulted by four men, survives, and takes the law into her own hands by seeking revenge against her attackers.",hulu,,,,,,,,,,
1338,43949,Flipped,7.8,/6zDYFigohwncqFL00MKbFV01dWb.jpg,"When Juli meets Bryce in the second grade, she knows it's true love. After spending six years trying to convince Bryce the same, she's ready to give up - until he starts to reconsider.",1924,Rob Reiner,"Madeline Carroll, Callan McAuliffe, Rebecca De Mornay, Anthony Edwards, John Mahoney, Penelope Ann Miller, Aidan Quinn, Kevin Weisman, Morgan Lily, Ryan Ketzner",United States,2010,PG,90 min,"Comedies, Dramas, Romantic Movies","Bryce and Juli first meet as children, with Juli having a crush on Bryce. As they mature, it appears their bond may blossom into something more.",netflix,,,,,,,,,,
1339,43959,Soul Surfer,7.1,/urLCQDCOITabAud39ZwLbNFBrc4.jpg,"The true story of teen surfer Bethany Hamilton, who lost her arm in a shark attack and courageously overcame all odds to become a champion again, through her sheer determination and unwavering faith.",995,Sean McNamara,"AnnaSophia Robb, Helen Hunt, Dennis Quaid, Carrie Underwood, Kevin Sorbo, Ross Thomas, Chris Brochu, Lorraine Nicholson, Jeremy Sumpter, Sonya Balmores, Craig T. Nelson, Mark Kubr, Kim Morgan Greene, Titus Kinimaka, Branscombe Richmond, Sonya Balmores Chung, Kimberly-Rose Wolter, John Philbin, David Chokachi, Wesley Mann",United States,2011,PG,106 min,"Dramas, Faith & Spirituality, Sports Movies",Hawaiian teen Bethany Hamilton bravely returns to competitive surfing after losing her left arm in a vicious shark attack.,netflix,,,,,,,,,,
1340,44037,Lake Placid 3,5.3,/aHH3fy5ZVs4nrzNLZYIe1p2PJSc.jpg,"A game warden moves his family to Lake Placid, once the site of deadly crocodile attacks. Locals assure him the crocs are gone, but his mischievous young son finds a few baby crocs and begins feeding them. They quickly grow into very big adults and start attacking the game warden's family and nearby town.",153,Griff Furst,"Michael Ironside, Yancy Butler, Colin Ferguson",,2010,R,92 min,"Action, Comedy",Killer crocodiles and their offspring terrorize residents of a small community.,amazon,,,,,,,,,,
1342,44115,127 Hours,7.1,/h0RMdn0rfl9l5hWXz3tUh6QVkhi.jpg,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,6132,,,,2010,R,94 min,Drama,James Franco shines in the fact-based story of rock climber Aron Ralston who was trapped for five days in a desolate canyon.,hulu,,,,,,,,,,
1343,44214,Black Swan,7.6,/8XYghKF0xkxp5A7QtK2F5vffdpZ.jpg,A journey through the psyche of a young ballerina whose starring role as the duplicitous swan queen turns out to be a part for which she becomes frighteningly perfect.,11820,,,,2010,R,108 min,"Drama, Horror, Mystery",Obsession drives a devoted ballerina (Oscar(R) winner Natalie Portman) to the brink of madness in this compelling masterpiece.,hulu,,,,,,,,,,
1344,44244,Camp Rock 2: The Final Jam,6.3,/8RSdWqC259zR72Jjo6ANAM4ndhM.jpg,"Mitchie can't wait to go back to Camp Rock and spend the summer making new music with her friends and superstar Shane Gray. But the slick new camp across the lake, Camp Star, has drummed up some serious competition ??featuring newcomers Luke and Dana. In a sensational battle of the bands, with Camp Rock's future at stake, will Camp Star's flashy production and over-the-top antics win out, or will Camp Rockers prove that music, teamwork, and spirit are what truly matter?",1311,Paul Hoen,"Demi Lovato, Joe Jonas, Nick Jonas, Kevin Jonas, Daniel Fathers, Daniel Kash",United States,2010,TV-G,101 min,"Coming of Age, Music, Musical","To save Camp Rock, Mitchie challenges Camp Star to a final jam.",disney,,,,,,,,,,
1345,44264,True Grit,7.3,/rxeRwN7dxHSLE0asOEIc1Q5Mcxy.jpg,"Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find?îa man with 'true grit'?îReuben J. 'Rooster' Cogburn.",4226,Henry Hathaway,"John Wayne, Glen Campbell, Kim Darby, Jeremy Slate, Robert Duvall, Dennis Hopper, Strother Martin, John Fiedler",,1969,G,128 min,"Action, Drama, Western","A drunken, hard-nosed U.S. Marshal and a Texas Ranger help a stubborn young woman track down her father's murderer in Indian territory.",amazon,,,,,,,,,,
1346,44264,True Grit,7.3,/rxeRwN7dxHSLE0asOEIc1Q5Mcxy.jpg,"Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find?îa man with 'true grit'?îReuben J. 'Rooster' Cogburn.",4226,Henry Hathaway,"John Wayne, Glen Campbell, Kim Darby, Jeremy Slate, Robert Duvall, Dennis Hopper, Alfred Ryder, Strother Martin, Jeff Corey",United States,1969,G,128 min,"Classic Movies, Dramas",Teenage tomboy Mattie Ross enlists the help of crusty lawman Rooster Cogburn to track down the hired hand who murdered her father.,netflix,,,,,,,,,,
1347,44363,Frozen,5.9,/6SjRpaJg43iJnY0jlJ6c61tAKOo.jpg,"When three skiers find themselves stranded on a chair lift at a New England ski resort that has closed for the next week, they are forced to make life or death choices that prove to be more perilous than staying put and freezing to death.",1416,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad, Santino Fontana, Alan Tudyk",United States,2013,PG,105 min,"Animation, Family, Fantasy","Anna and Kristoff brave the elements, racing to save Elsa and the kingdom.",disney,,,,,,,,,,
1349,44683,Tinker Bell and the Great Fairy Rescue,6.7,/cb7PrVIYbwIadQqWxgSU6CGHJjj.jpg,"During a summer stay on the mainland, Tinker Bell is accidentally discovered while investigating a little girl's fairy house. As the other fairies, led by the brash Vidia, launch a daring rescue in the middle of a fierce storm, Tink develops a special bond with the lonely, little girl.",690,Bradley Raymond,"Mae Whitman, Lauren Mote, Michael Sheen, Pamela Adlon, Lucy Liu, Raven-Symon√©",United States,2010,G,80 min,"Action-Adventure, Animation, Fantasy",Tink risks her own safety when she befriends a curious human girl.,disney,,,,,,,,,,
1350,44826,Hugo,7.2,/vDAhBTIHvIoNOlgCfmLirVgUK2p.jpg,"Orphaned and alone except for an uncle, Hugo Cabret lives in the walls of a train station in 1930s Paris. Hugo's job is to oil and maintain the station's clocks, but to him, his more important task is to protect a broken automaton and notebook left to him by his late father. Accompanied by the goddaughter of an embittered toy merchant, Hugo embarks on a quest to solve the mystery of the automaton and find a place he can call home.",5913,Martin Scorsese,"Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chlo√´ Grace Moretz, Ray Winstone, Emily Mortimer, Christopher Lee, Helen McCrory, Michael Stuhlbarg, Frances de la Tour, Jude Law, Johnny Depp, Edmund Kingsley, Richard Griffiths, Angus Barnett, Michael Pitt, Gulliver McGrath, Eric Moreau, Chloe Grace Moretz","United Kingdom, United States, France",2011,PG,127 min,"Children & Family Movies, Dramas","Living inside a Paris train station, an orphan eludes the rigid stationmaster, meets a legendary filmmaker and finds the key to unlocking his destiny.",netflix,,,,,,,,,,
1351,44896,Rango,6.7,/h9GJiKuuJ650dte0gyzLD3ILcIh.jpg,"When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging town of Dirt, the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt.",5058,Gore Verbinski,"Johnny Depp, Isla Fisher, Abigail Breslin, Ned Beatty, Alfred Molina, Bill Nighy, Stephen Root, Harry Dean Stanton, Timothy Olyphant, Ray Winstone","United States, Canada",2011,PG,110 min,"Children & Family Movies, Comedies","When he becomes lost in the desert, pet chameleon Rango pretends he's a tough guy and ends up sheriff of a corrupt and violent frontier town.",netflix,,,,,,,,,,
1354,44912,Green Lantern,5.2,/fj21HwUprqjjwTdkKC1XZurRSpV.jpg,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",5967,Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins, Jay O. Sanders, Taika Waititi, Angela Bassett",United States,2011,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.,netflix,,,,,,,,,,
1355,44943,Battle: Los Angeles,5.7,/jloyGeVYZSxM9zsLFvVOWuj2ey4.jpg,"When once distant UFOs become a terrifying threat attacking Earth, a Marine staff sergeant and his team take it upon themselves to face the enemy and protect what remains of the planet.",2768,Jonathan Liebesman,"Aaron Eckhart, Michelle Rodriguez, Ramon Rodriguez, Bridget Moynahan, Ne-Yo, Michael Pe√±a, Lucas Till, Cory Hardrict, Adetokumboh M'Cormack, Jim Parrack",United States,2011,PG-13,116 min,"Action & Adventure, Sci-Fi & Fantasy","Led by their skillful staff sergeant, a platoon of gutsy Marines fights to protect all humankind from astonishingly powerful aliens.",netflix,,,,,,,,,,
1356,45269,The King's Speech,7.7,/uQ538BfYLDJh3GXlzRZLo0j7PFj.jpg,"The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country into war.",7142,Tom Hooper,"Colin Firth, Geoffrey Rush, Helena Bonham Carter, Guy Pearce, Timothy Spall, Derek Jacobi, Jennifer Ehle, Anthony Andrews, Claire Bloom, Eve Best, Michael Gambon","United Kingdom, United States, Australia",2010,R,118 min,"Dramas, International Movies","In this biographical drama, Britain's King George VI struggles with an embarrassing stutter until he seeks help from speech therapist Lionel Logue.",netflix,,,,,,,,,,
1357,45317,The Fighter,7.4,/jcQYWWi2y1vNsGlJJ2jNcFq0y1n.jpg,"Boxer ""Irish"" Micky Ward's unlikely road to the world light welterweight title. His Rocky-like rise was shepherded by half-brother Dicky, a boxer-turned-trainer who rebounded in life after nearly being KO'd by drugs and crime.",3434,David O. Russell,"Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo, Jack McGee, Melissa McMeekin, Bianca Hunter, Erica McDermott, Dendrie Taylor, Jill Quigg, Kate B. O'Brien, Sugar Ray Leonard",United States,2010,R,116 min,"Dramas, Sports Movies","After a string of defeats, a boxer rediscovers his fighting will with help from his trainer and half-brother, a once-talented pugilist.",netflix,,,,,,,,,,
1359,45772,Gnomeo & Juliet,5.8,/vVQwgfS9gSFviVT4gS7tZAmhRFc.jpg,"A version of Shakespeare's play, set in the world of warring indoor and outdoor gnomes. Garden gnomes Gnomeo and Juliet have as many obstacles to overcome as their quasi namesakes when they are caught up in a feud between neighbors. But with plastic pink flamingos and lawnmower races in the mix, can this young couple find lasting happiness?",1587,Kelly Asbury,"James McAvoy, Emily Blunt, Matt Lucas, Ashley Jensen, Michael Caine, Jim Cummings","United Kingdom, United States, Canada, Ireland",2011,G,86 min,"Action-Adventure, Animation, Family",Two garden gnomes remain star-crossed lovers during a feud among neighbors.,disney,,,,,,,,,,
1360,45890,Moana,7.1,/nEDFaNVqmLl2UeUYvvkKDSge5Ed.jpg,"The life story of Italian iconic pornographic actress Moana Pozzi. The actress Ilona Staller sued the production of the film for the unauthorized use of the character ""Cicciolina"", of which she owned the rights.",18,"John Musker, Ron Clements","Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison, Nicole Scherzinger, Jemaine Clement",United States,2016,PG,108 min,"Action-Adventure, Animation, Family",Moana and Maui set sail on a journey across the ocean to save the world.,disney,,,,,,,,,,
1361,46020,Sharktopus,4.6,/1UaenzyjqQmhAr2gX1kL4ViPu9O.jpg,"The U.S. Navy's special group ""Blue Water"" builds a half-shark, half-octopus for combat. But the sharktopus escapes and terrorizes the beaches of Puerto Vallarta.",112,Declan O'Brien,"Eric Roberts, Hector Jimenez",,2010,13+,89 min,"Action, Horror, Science Fiction","It is known as S-11, a diabolical hybrid of shark and octopus created by genetic scientist Nathan Sands, and it is the U.S. Navy's next super-weapon.",amazon,,,,,,,,,,
1362,46169,Twitches Too,6.8,/70aurzbqFMuJnwhIVW2aXeyzBAp.jpg,"Reunited witch twins Camryn and Alex adjust to their new life as supernatural beings while at the same time trying to maintain a normal existence in this sequel to the magical Disney Channel original movie Twitches. But they soon find themselves going head to head with the forces of darkness that threaten to destroy their world. Luckily, their birth mother, the powerful Miranda, is on hand to help out.",271,Stuart Gillard,"Tia Mowry, Tamera Mowry, Kristen Wilson, Patrick Fabian, Pat Kelly, Leslie Seiler",United States,2007,TV-PG,84 min,"Comedy, Fantasy","When a new evil threat arrives, it's up to the twitches to save Coventry.",disney,,,,,,,,,,
1363,46195,Rio,6.7,/el1e8TepBM0o8idXAd4aavXgWZb.jpg,"Captured by smugglers when he was just a hatchling, a macaw named Blu never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel, a lone female, lives in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda.",5325,Carlos Saldanha,"Anne Hathaway, Jesse Eisenberg, will.i.am , Jamie Foxx, George Lopez, Tracy Morgan","United States, Brazil",2011,G,99 min,"Action-Adventure, Animation, Comedy","Blu, a rare macaw leaves his home in small town Minnesota and heads to Rio to help save his species.",disney,,,,,,,,,,
1364,46261,Don't Be Afraid of the Dark,5.7,/jMBMm1jwqvILV8p1K44brBnmwLK.jpg,A young girl sent to live with her father and his new girlfriend discovers creatures in her new home who want to claim her as one of their own.,837,Troy Nixey,"Katie Holmes, Guy Pearce, Bailee Madison, Jack Thompson, Garry McDonald, Alan Dale, Julia Blake, Edwina Ritchard, Emilia Burns, Guillermo del Toro","United States, Australia, Mexico",2010,R,99 min,Horror Movies,Young Sally Hurst discovers she isn't alone in her new house: strange creatures live there ??and they might not be as friendly as Sally thinks.,netflix,,,,,,,,,,
1365,46705,Blue Valentine,6.9,/2D9KsXcKWVPtUgxj2jr0ge5UiFx.jpg,"Dean and Cindy live a quiet life in a modest neighborhood. They appear to have the world at their feet at the outset of the relationship. However, his lack of ambition and her retreat into self-absorption cause potentially irreversible cracks in their marriage.",2530,Derek Cianfrance,"Ryan Gosling, Michelle Williams, Faith Wladyka, John Doman, Mike Vogel, Ben Shenkman, Jen Jones, Maryann Plunkett, Marshall Johnson, James Benatti, Barbara Troy, Carey Westbrook, Enid Graham",United States,2010,R,112 min,"Dramas, Independent Movies, Romantic Movies","As Cindy and Dean muddle through their languishing marriage, they hearken back to the golden days when life was filled with possibility and romance.",netflix,,,,,,,,,,
1366,46838,Tucker and Dale vs. Evil,7.4,/8shwLEDzajJGSfLgbpac8x8xn1U.jpg,"Two hillbillies are suspected of being killers by a group of paranoid college kids camping near the duo's West Virginian cabin. As the body count climbs, so does the fear and confusion as the college kids try to seek revenge against the pair.",2085,Eli Craig,"Tyler Labine, Alan Tudyk, Katrina Bowden, Jesse Moss, Philip Granger, Brandon Jay McLaren, Christie Laing, Chelan Simmons, Travis Nelson, Alex Arsenault","Canada, United States, India, United Kingdom",2010,R,89 min,"Comedies, Horror Movies, Independent Movies","Expecting to relax at their ""vacation"" cabin, two backwoods boys see their trip turn into a nightmare when they're accused of being psychotic killers.",netflix,,,,,,,,,,
1367,46929,Fun and Fancy Free,6.3,/pSliP76Jl1mF2GDWfsOE17aG7G0.jpg,"Jiminy Cricket hosts two Disney animated shorts: ?úBongo,??about a circus bear escaping to the wild, and ?úMickey and the Beanstalk,??a take on the famous fairy tale.",310,"Jack Kinney, W. Roberts, Hamilton Luske","Edgar Bergen, Dinah Shore, Luana Patten, Clarence Nash, Mickey Mouse, Cliff Edwards",United States,1947,G,74 min,"Action-Adventure, Animation, Comedy","Two classic featurettes starring Mickey, Donald, Goofy and Jiminy Cricket.",disney,,,,,,,,,,
1368,48138,Unknown,6.6,/aXBQD515okXQZmYA89ntXMvSJSd.jpg,"A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is.",3071,Jaume Collet-Serra,"Liam Neeson, Diane Kruger, January Jones, Aidan Quinn, Bruno Ganz, Frank Langella, Sebastian Koch, Olivier Schneider, Stipe Erceg, Rainer Bock","United Kingdom, Germany, France, United States",2011,PG-13,113 min,"Action & Adventure, Thrillers","Liam Neeson stars as a man who regains consciousness after a car accident, only to discover that another man is impersonating him.",netflix,,,,,,,,,,
1369,48186,The Boy Who Cried Werewolf,6.4,/i7lny9FF2ylyPDwdF70ImmSbOv3.jpg,"A Californian family inherits a castle in Romania. This is especially exciting to the son, who is obsessed with monsters. And he is not disappointed.",243,Eric Bross,"Victoria Justice, Chase Ellison, Anna Galvin, Matt Winston, Jillian Marie, Valerie Tian, Kerry James, Andrea Brooks, Christie Laing, Cainan Wiebe, Brooke Shields, Brooke D'Orsay, Steven Grayhm","United States, Canada",2010,TV-Y,86 min,"Children & Family Movies, Comedies","When high school girl-geek Jordan becomes a werewolf after moving to Romania, she must elude her own brother, who sets out to slay her.",netflix,,,,,,,,,,
1370,48287,The Baby-Sitters Club,5.4,/juT5eKRDhmluaiVhymjViyXArCq.jpg,Seven junior-high-school girls organize a daycare camp for children while at the same time experiencing classic adolescent growing pains.,67,,,,1995,PG,94 min,"Comedy, Drama, Family",Based on the best-selling book series about seven friends whose babysitting business leads to adventure.,hulu,,,,,,,,,,
1372,48669,Terror Trap,5,/gab9aBrD8fxP2NveitSzOEP4rfV.jpg,"Driving to a weekend getaway, a car breakdown strands young couple Don and Nancy (David James Elliot and Heather Marsden) while passing through a small, rural Louisiana town. Finding the couple on the roadside, the towns inhospitable Sheriff Taylor (Jeff Fahey) tells them therell be no one to repair their car before morning. He directs them to a nearby motel for the night run by Carter (Michael Madsen). Checking into the seedy, rundown establishment, Don and Nancy have no way of knowing how this place deals with outsiders. Badge aside, the Sherriff answers to Carter, as do a gang of twisted, masked kidnappers, torturers, and killers. By the time Don and Nancy realize whats happening, its too late to flee. They must fight to survive the night, or be the next victims of the Terror Trap...",42,Dan Garcia,"David James Elliott, Heather Marie Marsden, Michael Madsen, Jeff Fahey",,2010,R,85 min,Suspense,"While driving at night, the car of estranged couple Don and Nancy is hit twice by another car in the middle of nowhere. Nancy asks for help and sheriff Cleveland offers to take them to the nearby Motel Royal Vista. The couple is disturbed by noises and screams from inside the next room, but soon they realize that they are part of a sick and deadly game, and their lives are threatened.",amazon,,,,,,,,,,
1373,48844,The Search for Santa Paws,6.2,/rW6rXvT6AeNC4AUBC2HJiiLpwly.jpg,"In the tradition of disney's classic holiday tales comes a heartwarming movie about the power of giving and the true meaning of christmas. Discover how the legendary friendship of Santa Claus and Santa Paws began in the inspiring original film, The Search For Santa Paws. When Santa and his new best friend, Paws, discover that the boys and girls of the world have lost the spirit of the season, they take a trip to New York City. But after Santa loses his memory, it's up to Paws, a faithful orphan named Quinn, her new friend Will and a wonderful group of magical talking dogs to save St. Nick and show the world what Christmas is really all about.",161,Robert Vince,"Resse Alexander, Diedrich Bader, Sahar Biniaz, Jan Boss, Ameko Eks Mass Carroll, Melody Choi",Canada,2010,G,101 min,"Drama, Family, Fantasy",Discover how the legendary friendship of Santa Claus and Santa Paws began.,disney,,,,,,,,,,
1374,49009,The Way Back,7,/dt9eTT8zmydFX4VZEdEtYpBhh01.jpg,"At the dawn of WWII, several men escape from a Russian gulag?îto take a perilous and uncertain journey to freedom as they cross deserts, mountains and several nations.",1152,Peter Weir,"Ed Harris, Jim Sturgess, Saoirse Ronan, Colin Farrell, Mark Strong",,2011,PG-13,133 min,"Action, Adventure, Drama","A small band of convicts stage a daring escape from a WWII-era Siberian gulag, and embark on a journey across five countries in a race for freedom and survival.",amazon,,,,,,,,,,
1376,49012,Arthur,5.6,/foUTAJurvnbUoIUbnuUk5dyHx7M.jpg,A drunken playboy stands to lose a wealthy inheritance when he falls for a woman that his family doesn't like.,587,Jason Winer,"Russell Brand, Helen Mirren, Greta Gerwig, Jennifer Garner, Geraldine James, Luis Guzm√°n, Nick Nolte, Christina Jacquelyn Calph, Murphy Guyer, Jos√© Ram√≥n Rosario",United States,2011,PG-13,110 min,"Comedies, Romantic Movies",Russell Brand stars in this remake as a philanderer who must decide whether to give up an inheritance of millions for the sake of romance.,netflix,,,,,,,,,,
1377,49013,Cars 2,6,/okIz1HyxeVOMzYwwHUjH2pHi74I.jpg,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,5957,John Lasseter,"Owen Wilson, Larry the Cable Guy , Michael Caine, Emily Mortimer, John Turturro, Eddie Izzard",United States,2011,G,107 min,"Animation, Comedy, Family",Lightning McQueen and Mater go overseas to compete in the World Grand Prix.,disney,,,,,,,,,,
1378,49018,Insidious,6.9,/tmlDFIUpGRKiuWm9Ixc6CYDk4y0.jpg,"A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help, they learn things are a lot more personal than they thought.",5253,James Wan,"Patrick Wilson, Rose Byrne, Lin Shaye, Ty Simpkins, Barbara Hershey, Leigh Whannell, Angus Sampson, Andrew Astor, Joseph Bishara","United States, Canada",2010,PG-13,103 min,"Horror Movies, Thrillers","A family moves into a new home, where their son falls into a coma and eerie events begin to reveal something far more sinister is lurking in the house.",netflix,,,,,,,,,,
1380,49049,Dredd,6.8,/wLx65gtGVnUFCxceHWGszcruCZj.jpg,"In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges, who combine the duties of judge, jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge, Dredd, discovers that taking down Ma-Ma isn?ôt as easy as it seems in this explosive adaptation of the hugely popular comic series.",3963,,,,2012,R,96 min,"Action, Adventure, Science Fiction","In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.",hulu,,,,,,,,,,
