,id,title,rating,image_path,overview,vote_count,cast,country,release,tv_rating,duration,genre,description,ott
587,42295,Hemlock Grove,7.2,/sjGOYM7GTG03aWUZIFOUiFDTeoL.jpg,Even demons have demons.,361,"Famke Janssen, Landon Liboiron, Dougray Scott, Bill Skarsgård, Joel de la Fuente, Kaniehtiio Horn, Madeleine Martin, Michael Andreae, Penelope Mitchell, Freya Tingley, Laurie Fortier, Nicole Boivin, Ted Dykstra, Lili Taylor, Aaron Douglas, Kandyse McClure, Marty Adams, Demore Barnes, Madeline Brewer",United States,2015,TV-MA,3 Seasons,"TV Horror, TV Mysteries, TV Thrillers","Secrets are just a part of daily life in the small Pennsylvania town of Hemlock Grove, where the darkest evils hide in plain sight.",netflix
588,42272,Baby Daddy,7.0,/lwpaNYFacUITOtfIZ1UDq7vnKeD.jpg,Time to Dad up.,137,,United States,2012,TV-14,6 Seasons,"Comedy, Sitcom, Teen","A young man becomes a surprise dad to a baby girl when she's left on his doorstep by an ex-girlfriend. He decides to raise the baby with the help of his mother, his brother Danny, his best buddy Tucker and his close female friend, Riley, who harbors a secret crush on him.",hulu
589,119988,The Innocent,7.8,/pfGlHuTMglPfgKJ84LmMvBAJdhr.jpg,Nobody escapes from the past.,183,"Mario Casas, Alexandra Jiménez, Aura Garrido, José Coronado, Juana Acosta, Susi Sánchez, Ana Wagener, Gonzalo de Castro, Martina Gusmán, Xavi Sáez, Miki Esparbé, Anna Alarcón",,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","An accidental killing leads a man down a dark hole of intrigue and murder. Just as he finds love and freedom, one phone call brings back the nightmare.",netflix
590,92592,BNA,8.5,/fwFYXaQz0mrY8v1HDky2wJsYa7t.jpg,,309,"Sumire Morohoshi, Yoshimasa Hosoya, Maria Naganawa, Kaito Ishikawa, Gara Takashima, Michiyo Murase",Japan,2020,TV-14,1 Season,"Anime Series, International TV Shows","Morphed into a raccoon beastman, Michiru seeks refuge, and answers, with the aid of wolf beastman Shirou inside the special zone of Anima-City.",netflix
591,62,The Challenge,7.8,/566k3Z692KvDcfI34fzt9BXGhuF.jpg,,44,,,1998,TV-14,3 Seasons,"Action, Adventure, News","Real World and Road Rules alumni face off to win their share in cash and prizes. Each season brings new rules, new games, and new drama... let The Challenge begin!",hulu
592,49009,The Goldbergs,7.9,/3aQipkhSCHUmaHjImqEqT80k6GP.jpg,,236,,United States,2013,TV-PG,9 Seasons,"Comedy, Family, Sitcom","The Goldbergs are a loving family like any other, just with a lot more yelling, but for geeky 11-year old Adam these were his wonder years and he faced them armed with a video camera to capture all the crazy.",hulu
593,66488,Chelsea,5.1,/lDbyyKRDk5FmDY98eCc97gUEZod.jpg,,47,,United States,2017,TV-MA,2 Seasons,"Stand-Up Comedy & Talk Shows, TV Comedies","It's not her first talk show, but it is a first of its kind. Ideas, people and places that fascinate her, all in her unique style.",netflix
594,105797,Wizards: Tales of Arcadia,8.4,/aAMcPNLzCML40q7qmuB0jrZIcsI.jpg,,273,"Colin O'Donoghue, David Bradley, Lena Headey, Emile Hirsch, Lexi Medrano, Steven Yeun, Alfred Molina, James Faulkner, Stephanie Beatriz, John Rhys-Davies",United States,2020,TV-Y7,1 Season,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","Merlin’s apprentice joins Arcadia’s heroes on a time-bending adventure in Camelot, where conflict is brewing between the human, troll and magical worlds.",netflix
595,116989,Crime Scene: The Vanishing at the Cecil Hotel,7.2,/2JECBiHk8U8PIhswVd3Pthc13tG.jpg,,227,,United States,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries","The notorious Cecil Hotel grows in infamy when guest Elisa Lam vanishes. From the creator of ""The Ted Bundy Tapes,"" a dive into crime's darkest places.",netflix
596,2490,The IT Crowd,8.1,/qZXkBoOUYzvKI4UCMzDQ5kqWHjh.jpg,The IT Crowd,853,"Chris O'Dowd, Richard Ayoade, Katherine Parkinson, Matt Berry",United Kingdom,2013,TV-MA,5 Seasons,"British TV Shows, Classic & Cult TV, International TV Shows","Aided by a tech-illiterate manager, a pair of basement-dwelling dweebs makes the most of life in IT at a corporation run by a cloddish new owner.",netflix
597,67018,The Legend of the Blue Sea,6.9,/vhBdwKSYOvops4o68X1zNXqEDF1.jpg,,82,,South Korea,2016,TV-14,1 Season,"Drama, International, Romance","How can a mermaid from the Joseon era survive in modern society? Shim Cheong (Jun Ji Hyun) is a mermaid who follows her one true love, a nobleman’s son named Kim Moon from the Joseon Dynasty, to modern-day Seoul. Moon’s modern doppelgänger is Heo Joon Jae (Lee Min Ho), a highly skilled scam artist who first becomes interested in Shim Cheong because of a jade bracelet worth $6 million that Shim Cheong wears. With nowhere to go, Shim Cheong is taken in by Joon Jae, who also finds his con partners, Jo Nam Doo (Lee Hee Joon) and Tae Oh (Shin Won Ho), hiding out in his home from a vengeful past victim of their scams. Shim Cheong discovers a rival for Joon Jae’s heart in Cha Shi Ah (Shin Hye Sun), a researcher at KAIST who deals with ancient artifacts. When a dangerous killer named Ma Dae Young (Sung Dong Il) sent by Joon Jae’s stepmother who wants to make her own son the heir to Joon Jae’s fortunes, can Shim Cheong survive her strange new environment while also helping Joon Jae avoid the dangers that await him? “The Legend of the Blue Sea” is a 2016-2017 South Korean drama series directed by Jin Hyuk. The story is inspired by a historical tale about a mermaid contained in a short story anthology known as Eou Yadam by Joseon-era scholar Yu Mong In. This drama marks the last acting role for superstar Lee Min Ho before he entered his mandatory two-year military service and the first acting role for Jun Ji Hyun after giving birth to her first child. Parts of the drama series were filmed on the Pacific island of Palau and in Spain.",hulu
598,90027,Carnival Row,8.0,/3UupR0nS9R6Di9letdz4ftX95GF.jpg,We must all come together.,639,"Orlando Bloom, Caroline Ford, Cara Delevingne, Simon McBurney, Karla Crome, Indira Varma, Tamzin Merchant, Arty Froushan, Andrew Gower, Jared Harris, David Gyasi",United States,2019,16+,1 Season,"Drama, Fantasy, Suspense","With a serial killer loose on Carnival Row, and a government that turns a blind eye to the deaths of its lower class citizens, Rycroft Philostrate, a war-hardened investigator, is the only person willing to stop the murders and maintain the fragile peace. But when Vignette Stonemoss, a faerie refugee, turns up in the Burgue, she forces Philo to reckon with a past he's tried to forget.",amazon
599,76692,Catherine the Great,7.1,/nmu9NbHHcgkuMbXZlSS7XHBeucb.jpg,Take what you desire.,100,,,2019,TV-MA,1 Season,"Drama, History",Oscar(R)-winner Helen Mirren (“The Queen”) stars as the tumultuous 18th-century monarch and politician who ruled the Russian empire.,hulu
600,62816,Quantico,6.5,/3ofY2mALEiE0QDyRlVOV3sDNMYC.jpg,The FBI's top recruit is now their most wanted.,481,"Priyanka Chopra, Josh Hopkins, Jake McLaughlin, Aunjanue Ellis, Yasmine Al Massri, Johanna Braddy, Tate Ellington, Graham Rogers, Anabelle Acosta, Russell Tovey, Blair Underwood, Pearl Thusi",United States,2018,TV-14,3 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries","When evidence in a deadly terrorist attack implicates FBI trainee Alex Parrish, she must discover which one of her classmates framed her.",netflix
601,71577,The New Legends of Monkey,7.2,/jwu04xIT0kNV9ZpVZ6wNBGPr0eG.jpg,,135,"Chai Hansen, Luciane Buchanan, Josh Thomson, Emilie Cocquerel, Josh McKenzie, Jordan Mooney, Jarred Blakiston","Australia, New Zealand",2020,TV-PG,2 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",A valiant girl liberates the Monkey King – a god long trapped in stone – in a quest to find seven sacred scrolls and save the world from evil.,netflix
602,2777,Oggy and the Cockroaches,7.5,/aFAN9aKm0OblOr30ROejJCV8rGf.jpg,"Cats vs Cockroaches, who do you think will win?",256,"Don Michael Paul, Tony Sampson, Sam Vincent, Matt Hill, Greg Eagles, Peter Kelamis, Tara Strong, Rick Jones",France,2017,TV-Y7,1 Season,"Kids' TV, TV Comedies","Wimpy blue cat Oggy would like nothing more than to snooze, but he's constantly bothered by the three ugly cockroaches who have invaded his home.",netflix
603,93522,The Barrier,7.2,/qvlAuCWqBkXH9tO9kO6CTupA9XT.jpg,Una familia. Dos mundos. (One family. Two worlds.),69,"Unax Ugalde, Olivia Molina, Eleonora Wexler, Abel Folk, Ángela Molina, Manu Fullola, Daniel Ibáñez, Laura Quirós, Nicolás Illoro, Belén Écija, Juan Blanco, Yaima Ramos",Spain,2020,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",One family’s fight for survival in a future dystopian Madrid illustrates the disparity between two worlds separated by a fence — and so much more.,netflix
604,111111,Blood of Zeus,8.2,/zXRR5tgGLtKrRmuN4ko9SLAdCiZ.jpg,"When evil descends, a new myth rises.",299,"Derek Phillips, Jason O'Mara, Claudia Christian, Mamie Gummer, Jessica Henwick, Elias Toufexis, Chris Diamantopoulos, Adetokumboh M'Cormack, Matthew Mercer, Melina Kanakaredes, Danny Jacobs, Matt Lowe, Adam Croasdell, Jennifer Hale, David Shaughnessy, Fred Tatasciore, Vanessa Marshall",United States,2020,TV-MA,1 Season,Anime Series,"A commoner living in ancient Greece, Heron discovers his true heritage as a son of Zeus, and his purpose: to save the world from a demonic army.",netflix
605,1719,Gargoyles,8.2,/y4XIvxfRsJIRZ32Jnp4d4EoYnnX.jpg,,268,"Thom Hernandez, Edward Asner, Jeff Bennett, Keith David, Bill Fagerbakke, Jonathan Frakes",United States,1994,TV-Y7,3 Seasons,"Action-Adventure, Animation, Fantasy","In Scotland, 994 A.D. Goliath and his clan of gargoyles defend a medieval castle.",disney
606,4551,America's Got Talent,5.6,/gsX0bEwZED36LIrw9nIbcaVvUxt.jpg,,204,,United States,2006,TV-14,1 Season,"Family, Music, Reality",America votes in the ultimate talent show to determine which act deserves a million dollars.,hulu
607,12598,Black Lagoon,8.0,/rk2fTjYgpcN6LEALEO0aKTh9y9S.jpg,,207,,Japan,2006,TV-MA,2 Seasons,"Action, Adventure, Anime","Meek businessman Rokuro enters a risky world of gun running, drug smuggling, and kidnapping when his life is hijacked by the merciless crew of the Black Lagoon - modern pirates Revy, Dutch, and Benny.",hulu
608,42878,Anger Management,6.2,/vfWOzdgf9eB7IjZ9VqgXiWbxJ65.jpg,,153,"Charlie Sheen, Shawnee Smith, Daniela Bobadilla, Noureen DeWulf, Michael Arden, Derek Anderson",,2014,TV-14,5 Seasons,Comedy,"The hilarious hit comedy Anger Management is back! Starring award winning actor, Charlie Sheen, Anger Management Season 4 follows Charlie Goodman, a non-traditional therapist specializing in anger management. He has a successful private practice, holding sessions with his group of primary patient regulars each week, as well as performing pro bono counseling for an inmate group at a state prison.",amazon
