,username,content_id,rating
347,in_the_crease,308531.0,7.0
348,r96sk,308531.0,5.0
349,talisencrw,10625.0,8.0
350,Ruuz,10625.0,9.0
351,Kamurai,14199.0,3.0
352,Ruuz,440471.0,4.0
353,crestinanonim,440471.0,2.0
354,Ditendra,440471.0,3.0
355,tmdb47633491,20829.0,8.0
356,Kamurai,20829.0,7.0
357,joshfaknam,300669.0,7.0
358,Frank Ochieng,300669.0,7.0
359,Ruuz,300669.0,7.0
360,Rangan,300669.0,7.0
361,Wuchak,480157.0,8.0
362,topkek327,1250.0,7.0
363,tmdb44006625,1250.0,4.0
364,Wuchak,1250.0,7.0
365,msbreviews,545609.0,7.0
366,msbreviews,545609.0,7.0
367,SierraKiloBravo,545609.0,6.0
368,amac06,545609.0,1.0
369,Kamurai,545609.0,7.0
370,Frank Ochieng,290764.0,7.0
371,Rangan,290764.0,6.0
372,Ruuz,419479.0,5.0
373,Dsnake1,419479.0,8.0
374,Kamurai,419479.0,8.0
375,tanty,137113.0,7.0
376,casinoslotguy,137113.0,8.0
377,Dark Jedi,137113.0,7.0
378,TheGSides,137113.0,7.0
379,John Chard,137113.0,8.0
380,Frank Ochieng,227719.0,7.0
381,tmdb31220774,227719.0,7.0
382,narrator56,227719.0,6.0
383,John Chard,440.0,0.5
384,Ruuz,440.0,3.0
385,Rangan,228165.0,8.0
386,Frank Ochieng,68737.0,7.0
387,Dark Jedi,68737.0,7.0
388,Ruuz,4523.0,6.0
389,katch22,447362.0,6.0
390,rahuliam,281957.0,8.0
391,jamilammar,281957.0,7.0
392,tanty,281957.0,7.0
393,Rangan,281957.0,7.0
394,hweird1,281957.0,7.0
395,mattwilde123,281957.0,9.0
396,Ruuz,281957.0,7.0
397,MatthewL.Brady,281957.0,10.0
398,r96sk,281957.0,9.0
399,r96sk,13673.0,7.0
400,chadrico,449443.0,10.0
401,sef88,449443.0,6.0
402,Ruuz,449443.0,5.0
403,Rangan,166424.0,7.0
404,RodJ,166424.0,8.0
405,Dark Jedi,166424.0,6.0
406,maketheSWITCH,385103.0,3.0
407,msbreviews,385103.0,4.0
408,JPV852,385103.0,7.0
409,John Chard,10386.0,9.0
410,OSEANSADITYA,222935.0,7.0
411,Rangan,222935.0,8.0
412,John Chard,57201.0,9.0
413,Dark Jedi,57201.0,4.0
414,Ruuz,57201.0,5.0
415,r96sk,57201.0,8.0
416,maketheSWITCH,499701.0,8.0
417,JPV852,499701.0,6.0
418,Kamurai,499701.0,7.0
419,JPV852,252.0,8.0
420,JPV852,703745.0,5.0
421,garethmb,703745.0,7.0
422,nairtejas,703745.0,5.0
423,ohlalipop,44896.0,7.0
424,DoryDarko,44896.0,8.0
425,Ruuz,405774.0,7.0
426,Wuchak,405774.0,5.0
427,Kamurai,405774.0,6.0
428,Dark Jedi,58595.0,8.0
429,DoryDarko,58595.0,8.0
430,Kamurai,58595.0,8.0
431,John Chard,630.0,10.0
432,CatEllington,630.0,7.0
433,Kamurai,10693.0,6.0
434,Ruuz,346672.0,4.0
435,Frank Ochieng,346672.0,7.0
436,ColinJ,346672.0,5.0
437,StbMDB,346672.0,5.0
438,Dark Jedi,346672.0,8.0
439,Rangan,346672.0,4.0
440,DanDare,346672.0,4.0
441,r96sk,9904.0,5.0
442,darrenhamilton14,62213.0,8.5
443,Dark Jedi,62213.0,7.0
444,Wuchak,62213.0,7.0
445,Ruuz,62213.0,4.0
446,Kamurai,62213.0,7.0
447,r96sk,1267.0,6.0
448,Rangan,227973.0,9.0
449,Ruuz,227973.0,4.0
450,tanty,694.0,10.0
451,John Chard,694.0,8.0
452,JPV852,694.0,8.0
453,msbreviews,694.0,10.0
454,repojack,694.0,9.0
455,repojack,694.0,9.0
456,ltexasn,407439.0,6.0
457,John Chard,9358.0,7.0
458,Wuchak,9358.0,7.0
459,r96sk,18126.0,7.0
460,Dark Jedi,72431.0,5.0
461,Ruuz,402900.0,5.0
462,MetGaylas,402900.0,10.0
463,r96sk,402900.0,8.0
464,Rangan,302699.0,6.0
465,Johnny V,146216.0,4.0
466,Rangan,315465.0,8.0
467,MovieGuys,594718.0,7.0
468,maketheSWITCH,594718.0,6.0
469,repojack,594718.0,7.0
470,RMoore35,594718.0,8.0
471,Ruuz,91586.0,5.0
472,tmdb15214618,664413.0,3.0
473,r96sk,664413.0,1.0
474,John Chard,13189.0,9.0
475,maketheSWITCH,522518.0,6.0
476,John Chard,55779.0,7.5
477,Wuchak,55779.0,7.0
478,maketheSWITCH,359724.0,8.0
479,Bertaut,359724.0,8.0
480,msbreviews,359724.0,10.0
481,Ruuz,359724.0,6.0
482,JPV852,359724.0,9.0
483,SierraKiloBravo,359724.0,10.0
484,tylero,359724.0,6.0
485,garethmb,450465.0,7.0
486,msbreviews,450465.0,7.0
487,esam.mosbah,450465.0,7.0
488,Peter89Spencer,450465.0,10.0
489,Wong Kentir,256591.0,7.0
490,Rangan,256591.0,6.5
491,JPV852,111.0,9.0
492,Ruuz,64688.0,7.0
493,tanty,68735.0,7.0
494,moparchris,68735.0,9.0
